ticker,date_from,date_to,value_from,value_to,pct_change
NASDAQCOM,2023-02-10 00:00:00,2023-02-13 00:00:00,11718.12,11891.79,1.4820636757432084
NASDAQCOM,2023-02-15 00:00:00,2023-02-16 00:00:00,12070.59,11855.83,-1.7792005196100622
NASDAQCOM,2023-02-17 00:00:00,2023-02-21 00:00:00,11787.27,11492.3,-2.5024454347783767
NASDAQCOM,2023-02-23 00:00:00,2023-02-24 00:00:00,11590.4,11394.94,-1.6863956377691807
NASDAQCOM,2023-03-02 00:00:00,2023-03-03 00:00:00,11462.98,11689.01,1.971825825396194
NASDAQCOM,2023-03-06 00:00:00,2023-03-07 00:00:00,11675.74,11530.33,-1.2454028609749777
NASDAQCOM,2023-03-08 00:00:00,2023-03-09 00:00:00,11576.0,11338.35,-2.052954388389769
NASDAQCOM,2023-03-09 00:00:00,2023-03-10 00:00:00,11338.35,11138.89,-1.7591624883691273
NASDAQCOM,2023-03-13 00:00:00,2023-03-14 00:00:00,11188.84,11428.15,2.13882761751888
NASDAQCOM,2023-03-15 00:00:00,2023-03-16 00:00:00,11434.05,11717.28,2.477075052146889
NASDAQCOM,2023-03-20 00:00:00,2023-03-21 00:00:00,11675.54,11860.11,1.5808262401567696
NASDAQCOM,2023-03-21 00:00:00,2023-03-22 00:00:00,11860.11,11669.96,-1.6032734940907079
NASDAQCOM,2023-03-22 00:00:00,2023-03-23 00:00:00,11669.96,11787.4,1.0063444947540567
NASDAQCOM,2023-03-28 00:00:00,2023-03-29 00:00:00,11716.08,11926.24,1.7937740268076
NASDAQCOM,2023-03-30 00:00:00,2023-03-31 00:00:00,12013.47,12221.91,1.735052403676877
NASDAQCOM,2023-04-04 00:00:00,2023-04-05 00:00:00,12126.33,11996.86,-1.0676767002052505
NASDAQCOM,2023-04-12 00:00:00,2023-04-13 00:00:00,11929.34,12166.27,1.9861115535310443
NASDAQCOM,2023-04-24 00:00:00,2023-04-25 00:00:00,12037.2,11799.16,-1.9775363041238898
NASDAQCOM,2023-04-26 00:00:00,2023-04-27 00:00:00,11854.35,12142.24,2.4285599800916913
NASDAQCOM,2023-05-01 00:00:00,2023-05-02 00:00:00,12212.6,12080.51,-1.0815878682672007
NASDAQCOM,2023-05-04 00:00:00,2023-05-05 00:00:00,11966.4,12235.41,2.2480445246690755
NASDAQCOM,2023-05-09 00:00:00,2023-05-10 00:00:00,12179.55,12306.44,1.0418283105697768
NASDAQCOM,2023-05-16 00:00:00,2023-05-17 00:00:00,12343.05,12500.57,1.2761837633324054
NASDAQCOM,2023-05-17 00:00:00,2023-05-18 00:00:00,12500.57,12688.84,1.5060913222357095
NASDAQCOM,2023-05-22 00:00:00,2023-05-23 00:00:00,12720.78,12560.25,-1.2619509181040836
NASDAQCOM,2023-05-24 00:00:00,2023-05-25 00:00:00,12484.16,12698.09,1.7136114884782019
NASDAQCOM,2023-05-25 00:00:00,2023-05-26 00:00:00,12698.09,12975.69,2.1861555556780616
NASDAQCOM,2023-05-31 00:00:00,2023-06-01 00:00:00,12935.29,13100.98,1.2809144595907682
NASDAQCOM,2023-06-01 00:00:00,2023-06-02 00:00:00,13100.98,13240.77,1.067019413814851
NASDAQCOM,2023-06-06 00:00:00,2023-06-07 00:00:00,13276.42,13104.89,-1.2919898587119167
NASDAQCOM,2023-06-07 00:00:00,2023-06-08 00:00:00,13104.89,13238.52,1.0196957013756012
NASDAQCOM,2023-06-09 00:00:00,2023-06-12 00:00:00,13259.14,13461.92,1.5293601244122972
NASDAQCOM,2023-06-14 00:00:00,2023-06-15 00:00:00,13626.48,13782.82,1.1473249144313142
NASDAQCOM,2023-06-20 00:00:00,2023-06-21 00:00:00,13667.29,13502.2,-1.2079205167959424
NASDAQCOM,2023-06-22 00:00:00,2023-06-23 00:00:00,13630.61,13492.52,-1.0130874553670022
NASDAQCOM,2023-06-23 00:00:00,2023-06-26 00:00:00,13492.52,13335.78,-1.1616806941920397
NASDAQCOM,2023-06-26 00:00:00,2023-06-27 00:00:00,13335.78,13555.67,1.6488724319087402
NASDAQCOM,2023-06-29 00:00:00,2023-06-30 00:00:00,13591.33,13787.92,1.4464368093483135
NASDAQCOM,2023-07-11 00:00:00,2023-07-12 00:00:00,13760.7,13918.96,1.1500868415124113
NASDAQCOM,2023-07-12 00:00:00,2023-07-13 00:00:00,13918.96,14138.57,1.5777759257875632
NASDAQCOM,2023-07-19 00:00:00,2023-07-20 00:00:00,14358.02,14063.31,-2.052581066191584
NASDAQCOM,2023-07-27 00:00:00,2023-07-28 00:00:00,14050.11,14316.66,1.8971381718719587
NASDAQCOM,2023-08-01 00:00:00,2023-08-02 00:00:00,14283.91,13973.45,-2.1734945123569047
NASDAQCOM,2023-08-08 00:00:00,2023-08-09 00:00:00,13867.19,13705.08,-1.1690183807966905
NASDAQCOM,2023-08-11 00:00:00,2023-08-14 00:00:00,13644.85,13788.33,1.0515322630882682
NASDAQCOM,2023-08-14 00:00:00,2023-08-15 00:00:00,13788.33,13631.05,-1.1406747590172315
NASDAQCOM,2023-08-15 00:00:00,2023-08-16 00:00:00,13631.05,13474.63,-1.147527153080651
NASDAQCOM,2023-08-16 00:00:00,2023-08-17 00:00:00,13474.63,13316.93,-1.170347534589068
NASDAQCOM,2023-08-18 00:00:00,2023-08-21 00:00:00,13290.78,13497.59,1.556041105187201
NASDAQCOM,2023-08-22 00:00:00,2023-08-23 00:00:00,13505.87,13721.03,1.5930850807833914
NASDAQCOM,2023-08-23 00:00:00,2023-08-24 00:00:00,13721.03,13463.97,-1.8734745132107524
NASDAQCOM,2023-08-28 00:00:00,2023-08-29 00:00:00,13705.13,13943.76,1.7411728309034722
NASDAQCOM,2023-09-05 00:00:00,2023-09-06 00:00:00,14020.95,13872.47,-1.058986730571048
NASDAQCOM,2023-09-08 00:00:00,2023-09-11 00:00:00,13761.53,13917.91,1.1363562045789908
NASDAQCOM,2023-09-11 00:00:00,2023-09-12 00:00:00,13917.91,13773.63,-1.0366498993024145
NASDAQCOM,2023-09-14 00:00:00,2023-09-15 00:00:00,13926.05,13708.33,-1.5634009643797009
NASDAQCOM,2023-09-19 00:00:00,2023-09-20 00:00:00,13678.19,13469.13,-1.5284185992445
NASDAQCOM,2023-09-20 00:00:00,2023-09-21 00:00:00,13469.13,13223.98,-1.82008786016617
NASDAQCOM,2023-09-25 00:00:00,2023-09-26 00:00:00,13271.32,13063.61,-1.5651043000997573
NASDAQCOM,2023-10-02 00:00:00,2023-10-03 00:00:00,13307.77,13059.47,-1.865827257309084
NASDAQCOM,2023-10-03 00:00:00,2023-10-04 00:00:00,13059.47,13236.01,1.3518159619035142
NASDAQCOM,2023-10-05 00:00:00,2023-10-06 00:00:00,13219.83,13431.34,1.5999449312131868
NASDAQCOM,2023-10-12 00:00:00,2023-10-13 00:00:00,13574.22,13407.23,-1.230199598945647
NASDAQCOM,2023-10-13 00:00:00,2023-10-16 00:00:00,13407.23,13567.98,1.1989799533535266
NASDAQCOM,2023-10-17 00:00:00,2023-10-18 00:00:00,13533.75,13314.3,-1.6215018010529287
NASDAQCOM,2023-10-19 00:00:00,2023-10-20 00:00:00,13186.18,12983.81,-1.5347128584624266
NASDAQCOM,2023-10-24 00:00:00,2023-10-25 00:00:00,13139.87,12821.22,-2.4250620439928356
NASDAQCOM,2023-10-25 00:00:00,2023-10-26 00:00:00,12821.22,12595.61,-1.7596609371027
NASDAQCOM,2023-10-27 00:00:00,2023-10-30 00:00:00,12643.01,12789.48,1.1585057672184025
NASDAQCOM,2023-10-31 00:00:00,2023-11-01 00:00:00,12851.24,13061.47,1.6358732698167615
NASDAQCOM,2023-11-01 00:00:00,2023-11-02 00:00:00,13061.47,13294.19,1.7817290090625417
NASDAQCOM,2023-11-02 00:00:00,2023-11-03 00:00:00,13294.19,13478.28,1.3847402511924392
NASDAQCOM,2023-11-09 00:00:00,2023-11-10 00:00:00,13521.45,13798.11,2.0460823358441576
NASDAQCOM,2023-11-13 00:00:00,2023-11-14 00:00:00,13767.74,14094.38,2.372502676546764
NASDAQCOM,2023-11-17 00:00:00,2023-11-20 00:00:00,14125.48,14284.53,1.1259794357430764
NASDAQCOM,2023-12-06 00:00:00,2023-12-07 00:00:00,14146.71,14339.99,1.3662540618984955
NASDAQCOM,2023-12-12 00:00:00,2023-12-13 00:00:00,14533.4,14733.96,1.379993669753805
NASDAQCOM,2023-12-19 00:00:00,2023-12-20 00:00:00,15003.22,14777.94,-1.5015443351493802
NASDAQCOM,2023-12-20 00:00:00,2023-12-21 00:00:00,14777.94,14963.87,1.2581591209600274
NASDAQCOM,2023-12-29 00:00:00,2024-01-02 00:00:00,15011.35,14765.94,-1.6348296455681859
NASDAQCOM,2024-01-02 00:00:00,2024-01-03 00:00:00,14765.94,14592.21,-1.1765590270582258
NASDAQCOM,2024-01-05 00:00:00,2024-01-08 00:00:00,14524.07,14843.77,2.2011736379678752
NASDAQCOM,2024-01-17 00:00:00,2024-01-18 00:00:00,14855.62,15055.65,1.3464937848437077
NASDAQCOM,2024-01-18 00:00:00,2024-01-19 00:00:00,15055.65,15310.97,1.695841760402239
NASDAQCOM,2024-01-26 00:00:00,2024-01-29 00:00:00,15455.36,15628.04,1.1172822891217045
NASDAQCOM,2024-01-30 00:00:00,2024-01-31 00:00:00,15509.9,15164.01,-2.230123985325498
NASDAQCOM,2024-01-31 00:00:00,2024-02-01 00:00:00,15164.01,15361.64,1.3032832344478749
NASDAQCOM,2024-02-01 00:00:00,2024-02-02 00:00:00,15361.64,15628.95,1.74011368577835
NASDAQCOM,2024-02-08 00:00:00,2024-02-09 00:00:00,15793.71,15990.66,1.2470154257612729
NASDAQCOM,2024-02-12 00:00:00,2024-02-13 00:00:00,15942.55,15655.6,-1.799900266895816
NASDAQCOM,2024-02-13 00:00:00,2024-02-14 00:00:00,15655.6,15859.15,1.3001737397480726
NASDAQCOM,2024-02-21 00:00:00,2024-02-22 00:00:00,15580.87,16041.62,2.9571519433767177
NASDAQCOM,2024-02-29 00:00:00,2024-03-01 00:00:00,16091.92,16274.94,1.137340976092352
NASDAQCOM,2024-03-04 00:00:00,2024-03-05 00:00:00,16207.51,15939.59,-1.6530608341441717
NASDAQCOM,2024-03-06 00:00:00,2024-03-07 00:00:00,16031.54,16273.38,1.5085263174966244
NASDAQCOM,2024-03-07 00:00:00,2024-03-08 00:00:00,16273.38,16085.11,-1.156920074379131
NASDAQCOM,2024-03-11 00:00:00,2024-03-12 00:00:00,16019.27,16265.64,1.5379602191610415
NASDAQCOM,2024-03-19 00:00:00,2024-03-20 00:00:00,16166.79,16369.41,1.2533100262946384
NASDAQCOM,2024-04-03 00:00:00,2024-04-04 00:00:00,16277.46,16049.08,-1.4030444553388504
NASDAQCOM,2024-04-04 00:00:00,2024-04-05 00:00:00,16049.08,16248.52,1.2426880543931522
NASDAQCOM,2024-04-10 00:00:00,2024-04-11 00:00:00,16170.36,16442.2,1.681100482611396
NASDAQCOM,2024-04-11 00:00:00,2024-04-12 00:00:00,16442.2,16175.09,-1.624539295228136
NASDAQCOM,2024-04-12 00:00:00,2024-04-15 00:00:00,16175.09,15885.02,-1.7933130511174882
NASDAQCOM,2024-04-16 00:00:00,2024-04-17 00:00:00,15865.25,15683.37,-1.1464048785868435
NASDAQCOM,2024-04-18 00:00:00,2024-04-19 00:00:00,15601.5,15282.01,-2.0478159151363635
NASDAQCOM,2024-04-19 00:00:00,2024-04-22 00:00:00,15282.01,15451.31,1.107838563120946
NASDAQCOM,2024-04-22 00:00:00,2024-04-23 00:00:00,15451.31,15696.64,1.5877618143704315
NASDAQCOM,2024-04-25 00:00:00,2024-04-26 00:00:00,15611.76,15927.9,2.0250119140955243
NASDAQCOM,2024-04-29 00:00:00,2024-04-30 00:00:00,15983.08,15657.82,-2.0350270410959603
NASDAQCOM,2024-05-01 00:00:00,2024-05-02 00:00:00,15605.48,15840.96,1.508957109938301
NASDAQCOM,2024-05-02 00:00:00,2024-05-03 00:00:00,15840.96,16156.33,1.9908515645516485
NASDAQCOM,2024-05-03 00:00:00,2024-05-06 00:00:00,16156.33,16349.25,1.1940830621805822
NASDAQCOM,2024-05-14 00:00:00,2024-05-15 00:00:00,16511.18,16742.39,1.4003239017441462
NASDAQCOM,2024-05-23 00:00:00,2024-05-24 00:00:00,16736.03,16920.79,1.103965516314216
NASDAQCOM,2024-05-29 00:00:00,2024-05-30 00:00:00,16920.58,16737.08,-1.0844781916459127
NASDAQCOM,2024-06-04 00:00:00,2024-06-05 00:00:00,16857.05,17187.9,1.9626803028999866
NASDAQCOM,2024-06-11 00:00:00,2024-06-12 00:00:00,17343.55,17608.44,1.5273113059321732
NASDAQCOM,2024-06-21 00:00:00,2024-06-24 00:00:00,17689.36,17496.82,-1.0884509106038933
NASDAQCOM,2024-06-24 00:00:00,2024-06-25 00:00:00,17496.82,17717.65,1.262115058622091
NASDAQCOM,2024-07-09 00:00:00,2024-07-10 00:00:00,18429.29,18647.45,1.1837677957208326
NASDAQCOM,2024-07-10 00:00:00,2024-07-11 00:00:00,18647.45,18283.41,-1.9522240306315386
NASDAQCOM,2024-07-16 00:00:00,2024-07-17 00:00:00,18509.34,17996.92,-2.7684401496757953
NASDAQCOM,2024-07-19 00:00:00,2024-07-22 00:00:00,17726.94,18007.57,1.5830707386610494
NASDAQCOM,2024-07-23 00:00:00,2024-07-24 00:00:00,17997.35,17342.41,-3.639091310665174
NASDAQCOM,2024-07-25 00:00:00,2024-07-26 00:00:00,17181.72,17357.88,1.0252756999881258
NASDAQCOM,2024-07-29 00:00:00,2024-07-30 00:00:00,17370.2,17147.42,-1.2825413639451615
NASDAQCOM,2024-07-30 00:00:00,2024-07-31 00:00:00,17147.42,17599.4,2.635848425010895
NASDAQCOM,2024-07-31 00:00:00,2024-08-01 00:00:00,17599.4,17194.15,-2.302635317113083
NASDAQCOM,2024-08-01 00:00:00,2024-08-02 00:00:00,17194.15,16776.16,-2.4310012417014017
NASDAQCOM,2024-08-02 00:00:00,2024-08-05 00:00:00,16776.16,16200.08,-3.4339205157795343
NASDAQCOM,2024-08-05 00:00:00,2024-08-06 00:00:00,16200.08,16366.85,1.0294393607932828
NASDAQCOM,2024-08-06 00:00:00,2024-08-07 00:00:00,16366.85,16195.81,-1.045039210355083
NASDAQCOM,2024-08-07 00:00:00,2024-08-08 00:00:00,16195.81,16660.02,2.8662351558829164
NASDAQCOM,2024-08-12 00:00:00,2024-08-13 00:00:00,16780.61,17187.61,2.4254183846713557
NASDAQCOM,2024-08-14 00:00:00,2024-08-15 00:00:00,17192.6,17594.5,2.3376336330747036
NASDAQCOM,2024-08-16 00:00:00,2024-08-19 00:00:00,17631.72,17876.77,1.3898247022978998
NASDAQCOM,2024-08-21 00:00:00,2024-08-22 00:00:00,17918.99,17619.35,-1.672192461740327
NASDAQCOM,2024-08-22 00:00:00,2024-08-23 00:00:00,17619.35,17877.79,1.4667964482231315
NASDAQCOM,2024-08-27 00:00:00,2024-08-28 00:00:00,17754.82,17556.03,-1.119639624620249
NASDAQCOM,2024-08-29 00:00:00,2024-08-30 00:00:00,17516.43,17713.62,1.1257430880607446
NASDAQCOM,2024-08-30 00:00:00,2024-09-03 00:00:00,17713.62,17136.3,-3.2591869984791346
NASDAQCOM,2024-09-05 00:00:00,2024-09-06 00:00:00,17127.66,16690.83,-2.550435961479841
NASDAQCOM,2024-09-06 00:00:00,2024-09-09 00:00:00,16690.83,16884.6,1.1609368737204608
NASDAQCOM,2024-09-10 00:00:00,2024-09-11 00:00:00,17025.88,17395.53,2.1711065742269873
NASDAQCOM,2024-09-11 00:00:00,2024-09-12 00:00:00,17395.53,17569.68,1.0011192530494988
NASDAQCOM,2024-09-18 00:00:00,2024-09-19 00:00:00,17573.3,18013.98,2.5076678825263343
NASDAQCOM,2024-09-30 00:00:00,2024-10-01 00:00:00,18189.17,17910.36,-1.5328351980876407
NASDAQCOM,2024-10-03 00:00:00,2024-10-04 00:00:00,17918.48,18137.85,1.2242667904866875
NASDAQCOM,2024-10-04 00:00:00,2024-10-07 00:00:00,18137.85,17923.9,-1.179577513321574
NASDAQCOM,2024-10-07 00:00:00,2024-10-08 00:00:00,17923.9,18182.92,1.4451096022628824
